category,n,min,p05,q1,median,q3,p95,max,mean
HP:0000119 Abnormality of the genitourinary system,1035,1.5159281529406923,5.801658688705842,9.13543047751509,11.33706433868474,12.658992433572104,13.658992433572104,13.658992433572104,10.743366354676098
HP:0000152 Abnormality of head or neck,1176,0.9512019380432801,4.4447705795169625,7.958552715431011,10.48906743212979,12.658992433572104,13.658992433572104,13.658992433572104,9.914207046582657
HP:0000478 Abnormality of the eye,841,1.130538322807314,5.411064920128518,8.904104931408634,10.851637511514499,12.658992433572104,13.658992433572104,13.658992433572104,10.492288313484348
HP:0000598 Abnormality of the ear,231,1.7592578912145922,4.375863194152847,9.411064920128517,11.074029932850948,12.658992433572104,13.658992433572104,13.658992433572104,10.428024312742966
HP:0000707 Abnormality of the nervous system,1921,0.6128915885433016,4.770249184673844,8.167139337242428,10.48906743212979,12.658992433572104,13.658992433572104,13.658992433572104,10.1001328011815
HP:0000769 Abnormality of the breast,32,4.5067075912655215,4.89510223675048,7.421420385628551,9.7238100737804,12.074029932850948,13.658992433572104,13.658992433572104,9.636503752900536
HP:0000818 Abnormality of the endocrine system,398,2.7386395781570223,6.453510229562432,8.704796123185227,10.658992433572104,12.074029932850948,13.658992433572102,13.658992433572104,10.356349466774223
HP:0001197 Abnormality of prenatal development or birth,135,3.4374053123072983,5.820074245072918,9.755314972543301,11.658992433572104,13.658992433572104,13.658992433572104,13.658992433572104,10.978652619398527
HP:0001507 Growth abnormality,91,1.5216810428712024,2.6623328357908234,7.543081844243401,10.074029932850948,11.658992433572104,12.658992433572104,13.658992433572104,9.26121544380762
HP:0001574 Abnormality of the integument,915,1.3546411119088648,5.500784295925781,8.704796123185227,11.074029932850948,12.658992433572104,13.658992433572104,13.658992433572104,10.512586745905931
HP:0001608 Abnormality of the voice,24,4.653367884378225,6.717370861805749,7.845253738487715,9.385545203628284,12.658992433572104,13.658992433572104,13.658992433572104,9.91609923032007
HP:0001626 Abnormality of the cardiovascular system,1011,1.3860711067051004,5.829691428069911,8.958552715431011,11.074029932850948,12.658992433572104,13.658992433572104,13.658992433572104,10.596377944506047
HP:0001871 Abnormality of blood and blood-forming tissues,664,2.415223401610251,5.97403482661613,9.13543047751509,11.074029932850948,12.658992433572104,13.658992433572102,13.658992433572104,10.719528649402413
HP:0001939 Abnormality of metabolism/homeostasis,1556,1.5000672297651398,6.3599782687042605,9.958552715431011,12.074029932850948,13.658992433572104,13.658992433572104,13.658992433572104,11.384251510109866
HP:0002086 Abnormality of the respiratory system,434,2.0456633792010495,5.800133783786901,8.752101837963584,11.074029932850948,12.658992433572104,13.658992433572104,13.658992433572104,10.514640591183996
HP:0002664 Neoplasm,520,3.219161549590711,7.119062120435592,9.55091405227377,11.074029932850948,12.658992433572104,13.658992433572104,13.658992433572104,10.952092981750603
HP:0002715 Abnormality of the immune system,1030,1.9179468565622657,6.123333430230346,9.33706433868474,11.33706433868474,12.658992433572104,13.658992433572104,13.658992433572104,10.910823864890176
HP:0025031 Abnormality of the digestive system,646,1.362936595493319,5.026900905179303,8.61459831421365,10.658992433572104,12.658992433572104,13.658992433572104,13.658992433572104,10.324027578657441
HP:0025142 Constitutional symptom,97,2.872722805923637,5.466218557618249,8.449539067943153,10.658992433572104,12.074029932850948,13.658992433572106,13.658992433572104,10.28823159379392
HP:0025354 Abnormal cellular phenotype,191,3.681712510072187,6.1597853652774734,9.411064920128517,11.33706433868474,12.658992433572104,13.658992433572104,13.658992433572104,10.880922811049352
HP:0033127 Abnormality of the musculoskeletal system,2985,0.6016775557894,5.328103558760094,8.958552715431011,11.33706433868474,12.658992433572104,13.658992433572104,13.658992433572104,10.634954578361763
HP:0040064 Abnormality of limbs,1611,1.3669584480725603,5.494120537795712,9.266675010793342,11.658992433572104,13.658992433572104,13.658992433572104,13.658992433572104,10.862668227902528
HP:0045027 Abnormality of the thoracic cavity,5,7.728255096009217,7.752931579110275,7.851637511514499,8.449539067943153,12.074029932850948,13.341999933427873,13.658992433572104,9.952490808377984
UNCATEGORIZED Uncategorized,1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
