hpo_id,hpo_name,categories,ic,A_zebraseek_final_correct_count,A_zebraseek_final_correct_rate,B_initial_pcf_or_gm_correct_final_wrong_count,B_initial_pcf_or_gm_correct_final_wrong_rate,C_no_major_tool_correct_count,C_no_major_tool_correct_rate,max_rate_delta
HP:0000470,Short neck,Abnormality of head or neck; Abnormality of the musculoskeletal system,4.431945847886791,5,0.5,3,1.0,1,0.167,0.833
HP:0000316,Hypertelorism,Abnormality of the eye,3.298636970132768,5,0.5,0,0.0,5,0.833,0.833
HP:0001263,Global developmental delay,Abnormality of the nervous system,2.107140992243865,4,0.4,0,0.0,5,0.833,0.833
HP:0000581,Blepharophimosis,Abnormality of head or neck,5.778560821625623,6,0.6,0,0.0,3,0.5,0.6
HP:0000768,Pectus carinatum,Abnormality of the musculoskeletal system,5.61925292755734,1,0.1,1,0.333,4,0.667,0.567
HP:0000028,Cryptorchidism,Abnormality of the genitourinary system,3.652419791492539,2,0.2,0,0.0,3,0.5,0.5
HP:0000750,Delayed speech and language development,Abnormality of the nervous system,3.002938008133732,4,0.4,0,0.0,3,0.5,0.5
HP:0000508,Ptosis,Abnormality of the eye,3.744187777804219,2,0.2,1,0.333,4,0.667,0.467
HP:0001252,Hypotonia,Abnormality of the musculoskeletal system,2.2058557866597512,6,0.6,1,0.333,1,0.167,0.433
HP:0001159,Syndactyly,Abnormality of the musculoskeletal system; Abnormality of limbs,4.203395947971947,1,0.1,1,0.333,3,0.5,0.4
HP:0001643,Patent ductus arteriosus,Abnormality of the cardiovascular system,4.645725138918531,7,0.7,1,0.333,3,0.5,0.367
HP:0012523,Oral aversion,Abnormality of the nervous system,10.230687639639687,0,0.0,0,0.0,2,0.333,0.333
HP:0002680,J-shaped sella turcica,Abnormality of head or neck; Abnormality of the musculoskeletal system,9.700172922940908,0,0.0,1,0.333,0,0.0,0.333
HP:0001791,Fetal ascites,Abnormality of prenatal development or birth; Abnormality of the digestive system,9.593257719024395,0,0.0,1,0.333,0,0.0,0.333
HP:0005619,Thoracolumbar kyphosis,Abnormality of the musculoskeletal system,8.756756451307275,0,0.0,1,0.333,0,0.0,0.333
